[05:49:17:483]  PCM Hammer 021
[06:00:21:935]  Processing message
[06:00:21:947]  Sending 'test device present' notification.
[06:00:21:947]  Setting timeout for Minimum, 0 ms.
[06:00:21:948]  TX: STPTO 0
[06:00:21:977]  OK
[06:00:21:978]  TX: STPX H:8CFEF0, R:0, D:3F
[06:00:21:990]  Empty response to STPX with data. OK.
[06:00:21:991]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:00:21:992]  TX: STPTO 250
[06:00:22:000]  OK
[06:00:22:002]  Reading from 220160 / 0x35C00, length 1024 / 0x400
[06:00:22:003]  TX: STPX H:6D10F0, R:1, D:35010400035C00
[06:00:23:124]  RX: 6D F0 10 36 01 04 00 03 5C 00 FF FF B6 40 63 00 FF 64 60 00 FF 68 B0 43 64 24 4A 38 A9 83 67 A6 20 7C 00 FF A9 78 4E B9 00 02 71 BC 3D 78 A9 78 FF FE 36 38 B0 40 96 6E FF FE 60 00 FF 6E 42 38 A9 83 4A 02 66 42 38 38 A9 62 36 38 A9 64 B6 44 64 1C D2 78 A9 64 64 04 32 3C FF FF 31 C1 A9 64 36 38 A9 62 B2 43 63 20 31 C3 A9 64 60 1A B6 44 63 16 96 41 64 02 42 43 31 C3 A9 64 38 38 A9 62 B6 44 64 04 31 C4 A9 64 4C DF 01 07 4E 5E 4E 75 4A 38 A9 69 67 1C 42 03 38 38 AB A4 B8 79 00 00 E1 9A 62 28 38 38 A6 C6 B8 79 00 00 E1 98 63 1E 60 1A 42 03 38 38 AB A4 B8 79 00 00 E1 7C 64 0C 38 38 A6 C6 B8 79 00 00 E1 7A 65 02 52 03 11 C3 A9 69 4E 75 48 E7 E0 80 42 78 A9 6E 42 38 A9 69 42 78 A9 74 36 38 A9 C8 B6 79 00 00 E1 84 6E 58 38 38 AE E4 B8 79 00 00 E1 90 6E 4C 11 FC 00 01 A9 72 0C 38 00 08 9F 34 66 20 0C 39 00 02 00 01 6E 1E 67 16 38 03 06 44 04 00 72 05 C9 C1 74 06 89 C2 24 7C 00 00 E2 2C 60 14 38 03 06 44 04 00 72 05 C9 C1 74 06 89 C2 24 7C 00 00 E2 4C F8 12 41 40 31 C4 A9 76 60 08 42 38 A9 72 42 78 A9 76 70 08 B0 38 9F 34 66 3E 0C 39 00 02 00 01 6E 1E 67 34 08 38 00 04 A9 1D 67 16 30 7C 04 00 D6 48 C7 FC 00 05 87 FC 00 06 24 7C 00 00 E2 0C 60 48 30 7C 04 00 D6 48 C7 FC 00 05 87 FC 00 06 24 7C 00 00 E1 EC 60 32 08 38 00 04 A9 1D 67 16 30 7C 04 00 D6 48 C7 FC 00 05 87 FC 00 06 24 7C 00 00 E1 CC 60 14 30 7C 04 00 D6 48 C7 FC 00 05 87 FC 00 06 24 7C 00 00 E1 AC F8 12 31 40 31 C3 A9 80 31 C3 A9 70 42 38 A9 68 36 38 A9 C8 38 03 D8 48 6A 02 52 44 E2 44 24 7C 00 00 E2 80 F8 12 41 40 31 C4 A9 7E D6 48 6A 02 52 43 E2 43 24 7C 00 00 E2 6C F8 12 31 40 31 C3 A9 7C 72 02 B2 39 00 01 6E 1E 67 0C B0 38 9F 34 66 06 31 C4 A9 7A 60 04 31 C3 A9 7A 42 78 A9 62 4E B9 00 03 5A 0A 36 38 A9 70 D6 78 A9 62 64 04 36 3C FF FF B0 38 9F 34 66 18 B2 39 00 01 6E 1E 67 10 38 39 00 00 E2 94 B6 44 62 10 31 C3 A9 66 60 0E 38 39 00 00 E1 8A B6 44 63 F0 31 C4 A9 66 42 38 A9 83 36 38 A9 66 96 78 A9 70 64 02 42 43 31 C3 A9 64 4C DF 01 07 4E 75 48 E7 E3 00 14 38 9F 34 16 38 95 F4 0C 03 00 01 67 0C 0C 03 00 03 67 06 0C 03 00 05 66 0E 42 87 1E 02 32 30 73 B0 00 01 18 80 60 22 0C 03 00 02 67 0C 0C 03 00 04 67 06 0C 03 00 06 66 0E 42 87 1E 02 32 30 73 B0 00 01 18 94 60 02 42 41 20 01 4E B9 00 07 3B E4 3C 00 31 C6 96 4C 16 38 95 F4 67 00 00 D4 30 38 A6 C6 B0 79 00 01 17 56 63 00 00 C6 4A 46 6C 1E 42 80 10 02 38 30 03 B0 00 01 08 34 36 30 03 B0 00 01 08 D4 32 30 03 B0 00 01 08 84 60 1C 42 80 10 02 38 30 03 B0 00 01 08 20 36 30 03 B0 00 01 08 C0 32 30 03 B0 00 01 08 70 4A 46 6C 02 44 46 BC 79 00 01 17 42 64 04 42 40 60 30 42 82 34 04 38 38 96 4C 48 C4 44 84 4C 02 48 04 70 05 4C 04 08 00 69 0C 38 3C 24 00 81 C4 68 10 48 40 B9 40 6B 06 30 3C 7F FF 60 04 30 3C 80 00 4A 38 9F 88 67 12 C1 F9 00 01 17 44 6A 06 06 80 00 00 0F FF E0 80 E8 80 24 00 4A 42 6C 02 44 42 B4 43 6F 08 4A 40 6D 00 00 DC 20 03 4E B9 00 03 74 AE 42 43 16 38 96 10 31 F0 33 A0 96 36 95 F8 60 00 00 DA 4A 03 67 00 00 C4 30 38 A6 C6 B0 79 00 01 17 56 62 00 00 B6 4A 46 6C 1E 42 80 10 02 38 30 03 B0 00 01 08 0C 36 30 03 B0 00 01 08 AC 32 30 03 B0 00 01 08 5C 60 1C 42 80 10 02 38 30 03 B0 00 01 07 F8 36 30 03 B0 00 01 08 98 32 30 03 B0 00 01 08 48 52 84
[06:00:23:130]  Processing message
[06:00:23:138]  Sending 'test device present' notification.
[06:00:23:139]  Setting timeout for Minimum, 0 ms.
[06:00:23:139]  TX: STPTO 0
[06:00:23:207]  OK
[06:00:23:209]  TX: STPX H:8CFEF0, R:0, D:3F
[06:00:23:225]  Empty response to STPX with data. OK.
[06:00:23:227]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:00:23:230]  TX: STPTO 250
[06:00:23:238]  OK
[06:00:23:240]  Reading from 221184 / 0x36000, length 1024 / 0x400
[06:00:23:242]  TX: STPX H:6D10F0, R:1, D:35010400036000
[06:00:24:344]  RX: 6D F0 10 36 01 04 00 03 60 00 4A 46 6C 02 44 46 BC 79 00 01 17 40 64 04 42 40 60 30 42 82 34 04 38 38 96 4C 48 C4 44 84 4C 02 48 04 70 05 4C 04 08 00 69 0C 38 3C 24 00 81 C4 68 10 48 40 B9 40 6B 06 30 3C 7F FF 60 04 30 3C 80 00 4A 38 9F 88 67 12 C1 F9 00 01 17 44 6A 06 06 80 00 00 0F FF E0 80 E8 80 24 00 4A 42 6C 02 44 42 B4 43 6F 00 FF 30 4A 40 6C 00 FF 28 20 03 44 40 60 00 FF 22 45 F8 96 36 76 0A 42 5A 51 CB FF FC 42 78 95 F8 4C DF 00 C7 4E 75 4E 56 FF FE 2F 00 18 38 9F 34 30 38 A6 C6 B0 79 00 01 17 56 62 0E 42 85 1A 04 30 30 53 B0 00 01 18 C4 60 0C 42 85 1A 04 30 30 53 B0 00 01 18 D8 16 38 95 F4 67 76 3D 78 96 5E FF FE 42 85 1A 04 38 38 B0 40 98 6E FF FE B8 70 53 B0 00 01 18 B0 64 06 36 38 95 F8 60 56 0C 03 00 03 67 1E 0C 03 00 05 67 18 0C 03 00 01 67 12 0C 03 00 02 67 0C 0C 03 00 04 67 06 0C 03 00 06 66 30 4A 38 9F 88 67 12 C1 F9 00 01 17 44 6A 06 06 80 00 00 0F FF E0 80 E8 80 36 38 95 F8 96 40 C7 F8 95 FC 6A 06 06 83 00 00 0F FF E0 83 E8 83 60 02 42 43 4A 38 A4 82 67 2C 42 78 96 50 42 38 95 F4 36 38 B0 40 34 7C 03 20 D6 4A 31 C3 95 FE 36 38 B0 40 D6 4A 31 C3 96 5A 36 38 B0 40 D6 4A 31 C3 96 5E 60 1A 38 38 95 EE B8 79 00 01 17 3E 6F 0A 4A 43 6F 06 42 78 96 50 60 04 31 C3 96 50 20 1F 4E 5E 4E 75 48 E7 E2 C0 0C 38 00 05 9F 2B 54 C6 44 06 16 38 95 F0 66 54 4A 06 67 50 4A 38 96 66 67 4A 4A 38 96 69 67 44 4A 38 96 6D 67 3E 32 38 9C 7C E2 49 30 38 A0 C0 20 7C 00 01 0B DA 4E B9 00 03 8B CE 31 C0 95 EC 42 38 96 6B 42 38 96 68 42 38 96 6A 42 38 96 6E 42 38 96 6F 42 38 96 6C 11 C6 96 66 31 C0 95 DC 60 00 03 2A 4A 03 66 28 4A 06 66 24 4A 38 96 66 66 1E 4A 38 96 69 67 18 4A 38 96 6D 67 12 32 38 9C 7C E2 49 30 38 A0 C0 20 7C 00 01 08 E8 60 A6 4A 03 67 00 00 84 30 38 AB BC 32 38 AB BE 74 19 20 7C 00 00 F7 60 4E B9 00 02 64 AC 32 40 30 38 AB BC 32 38 AB BE 74 19 20 7C 00 00 F1 B6 4E B9 00 02 64 AC 36 00 38 3C 10 00 98 78 82 48 C8 F8 96 30 E0 8C E8 8C 31 C4 95 FA 31 C3 95 EC 20 03 90 49 C1 C4 6A 06 06 80 00 00 0F FF E0 80 E8 80 96 40 31 C3 95 DC 36 38 B0 40 34 7C 03 20 D6 4A 31 C3 96 34 36 38 B0 40 D6 4A 31 C3 96 1A 76 01 11 C3 96 69 60 00 01 E4 4A 03 66 4E 4A 06 66 4A 4A 38 96 66 67 44 4A 38 96 69 67 3E 4A 38 96 6B 66 38 4A 38 96 68 66 32 32 38 9C 7C E2 49 30 38 A0 C0 20 7C 00 01 0B DA 4E B9 00 03 8B CE 31 C0 95 DC 31 C0 95 EC 11 FC 00 01 96 6B 42 38 96 69 31 F8 B0 40 96 34 60 00 02 24 4A 03 66 3A 4A 06 66 36 4A 38 96 66 67 30 4A 38 96 6B 67 2A 4A 38 96 68 66 24 30 38 96 56 20 7C 00 FF 96 34 4E B9 00 02 71 9C 4A 00 67 00 01 F4 42 38 96 6B 11 FC 00 01 96 6A 60 00 01 E6 4A 03 66 68 4A 06 66 64 4A 38 96 66 67 5E 4A 38 96 6A 67 58 4A 38 96 68 66 52 4A 38 96 69 66 4C 32 38 9C 7C E2 49 30 38 A0 C0 20 7C 00 01 08 E8 4E B9 00 03 8B CE 36 00 30 38 95 DC D0 79 00 01 17 66 B0 43 6D 1A 31 C3 95 DC 31 C3 95 EC 76 01 11 C3 96 68 11 C3 96 69 11 C6 96 66 60 00 01 86 31 C0 95 DC 31 C0 95 EC 60 00 01 7A 4A 03 66 4E 4A 06 67 4A 4A 38 96 66 66 44 4A 38 96 6D 67 3E 4A 38 96 6F 66 38 4A 38 96 6C 66 32 32 38 9C 7C E2 49 30 38 A0 C0 20 7C 00 01 08 E8 4E B9 00 03 8B CE 31 C0 95 DC 31 C0 95 EC 11 FC 00 01 96 6F 42 38 96 6D 31 F8 B0 40 96 1A 60 00 01 28 4A 03 66 3A 4A 06 67 36 4A 38 72 AF
[06:00:24:346]  Processing message
[06:00:24:358]  Sending 'test device present' notification.
[06:00:24:358]  Setting timeout for Minimum, 0 ms.
[06:00:24:359]  TX: STPTO 0
[06:00:24:390]  OK
[06:00:24:390]  TX: STPX H:8CFEF0, R:0, D:3F
[06:00:24:403]  Empty response to STPX with data. OK.
[06:00:24:403]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:00:24:404]  TX: STPTO 250
[06:00:24:410]  OK
[06:00:24:411]  Reading from 222208 / 0x36400, length 1024 / 0x400
[06:00:24:411]  TX: STPX H:6D10F0, R:1, D:35010400036400
[06:00:25:490]  RX: 6D F0 10 36 01 04 00 03 64 00 96 66 66 30 4A 38 96 6F 67 2A 4A 38 96 6C 66 24 30 38 96 54 20 7C 00 FF 96 1A 4E B9 00 02 71 9C 4A 00 67 00 00 F8 42 38 96 6F 11 FC 00 01 96 6E 60 00 00 EA 4A 03 66 5A 4A 06 67 56 4A 38 96 66 66 50 4A 38 96 6E 67 4A 4A 38 96 6C 66 44 4A 38 96 6D 66 3E 32 38 9C 7C E2 49 30 38 A0 C0 20 7C 00 01 0B DA 4E B9 00 03 8B CE 36 00 30 38 95 DC 90 79 00 01 17 62 B0 43 6E 00 FF 1E 31 C3 95 DC 31 C3 95 EC 76 01 11 C3 96 6C 11 C3 96 6D 60 00 FF 00 4A 03 66 42 4A 06 67 3E 4A 38 96 66 67 38 4A 38 96 6B 66 0C 4A 38 96 6A 67 06 4A 38 96 68 66 26 32 38 9C 7C E2 49 30 38 A0 C0 20 7C 00 01 0B DA 4E B9 00 03 8B CE 31 C0 95 DC 31 C0 95 EC 11 FC 00 01 96 69 60 44 4A 03 66 40 4A 06 66 3C 4A 38 96 66 66 36 4A 38 96 6F 66 0C 4A 38 96 6E 67 06 4A 38 96 6C 66 24 32 38 9C 7C E2 49 30 38 A0 C0 20 7C 00 01 08 E8 4E B9 00 03 8B CE 31 C0 95 DC 31 C0 95 EC 11 FC 00 01 96 6D 4C DF 03 47 4E 75 48 E7 E2 80 30 38 AB C0 32 38 AB BE 74 25 20 7C 00 01 0E CC 4E B9 00 02 64 AC 3C 00 32 38 A0 C0 0C 41 50 00 64 04 E4 49 60 04 32 3C 14 00 30 38 AB C0 74 25 20 7C 00 01 18 F0 4E B9 00 02 64 86 CD C0 6A 06 06 86 00 00 0F FF E0 86 E8 86 31 C6 95 E0 4C DF 01 47 4E 75 4A 38 AE 74 67 06 42 78 96 0E 60 16 36 38 A9 C8 06 43 04 00 24 7C 00 01 1F 02 F8 12 39 40 31 C3 96 0E 4E 75 4E 56 FF FE 48 E7 E0 80 4A 39 00 00 92 A8 67 00 00 EE 38 39 00 01 17 30 30 38 9C CE B0 44 63 00 00 D0 3D 78 96 1E FF FE 36 38 B0 40 96 6E FF FE B6 79 00 01 17 2E 63 00 00 B8 20 7C 00 FF 96 1E 4E B9 00 02 71 BC 42 82 34 38 9C CA E1 82 E9 82 84 F8 9C C6 36 39 00 01 17 64 B6 42 64 02 24 03 32 38 9C 7C E2 49 30 38 A0 C0 20 7C 00 01 00 44 4E B9 00 03 8B CE 36 00 42 85 3A 38 9C D6 C7 C2 6A 06 06 83 00 00 0F FF E0 83 E8 83 48 C3 4C 05 38 03 3A 3C 10 00 87 C5 68 10 48 43 BB 43 6B 06 36 3C 7F FF 60 04 36 3C 80 00 31 C3 96 2E 38 38 95 E4 B6 44 6F 34 36 38 96 2E 96 78 95 E4 68 04 6B 16 60 1A C7 F9 00 01 1F CA 6A 06 06 83 00 00 0F FF E0 83 E8 83 60 0A 36 3C 7F FF 60 04 36 3C 80 00 D8 43 31 C4 95 E4 60 14 31 C3 95 E4 60 0E B0 44 64 0A 31 F8 B0 40 96 1E 42 78 95 E4 4C DF 01 07 4E 5E 4E 75 48 E7 E2 80 4A 38 A8 60 66 12 4A 38 9F 88 66 0C 4A 38 9F 8E 66 06 4A 38 9F 87 67 74 30 38 9F 80 42 43 3C 3C 03 33 BC 40 63 04 20 03 60 20 0C 40 06 30 64 16 90 46 48 C0 E1 80 6B 0A 4C 7C 00 00 00 00 00 33 60 08 42 80 60 04 30 3C 0F 00 32 38 AB C8 74 10 20 7C 00 00 FD A4 4E B9 00 02 64 AC 36 00 30 38 AB CA 24 7C 00 01 17 BA F8 12 01 40 38 3C 10 00 C7 C0 87 C4 68 10 48 43 B9 43 6B 06 36 3C 7F FF 60 04 36 3C 80 00 31 C3 96 20 60 04 42 78 96 20 4C DF 01 47 4E 75 48 E7 E0 00 42 41 08 38 00 03 A3 A1 66 00 00 E8 4A 38 95 F0 66 00 00 E0 0C 38 00 03 A2 85 66 34 36 38 A2 7E 6F 00 00 CA 0C 43 14 00 64 04 E2 4B 60 04 36 3C 0A 00 F8 39 39 40 00 01 1F 28 22 03 C3 F8 96 24 6A 06 06 81 00 00 0F FF E0 81 E8 81 60 00 00 9E 36 38 A2 7E 6F 3A 24 3C 00 00 01 00 B4 43 65 0A 02 83 00 00 FF FF E5 83 60 18 0C 43 06 00 64 0E 02 83 00 00 FF FF 96 82 06 43 04 00 60 04 36 3C 09 00 32 03 24 7C 00 01 1F 3E F8 12 19 40 60 42 28 01 0C 43 FA 00 6C 04 26 04 60 2A 0C 43 FF 00 6E 0A 48 C3 06 83 00 00 06 00 60 1A 4A 43 6C 12 48 C3 06 83 00 00 01 00 48 C3 E5 83 06 43 66 3F
[06:00:25:497]  Processing message
[06:00:25:504]  Sending 'test device present' notification.
[06:00:25:504]  Setting timeout for Minimum, 0 ms.
[06:00:25:505]  TX: STPTO 0
[06:00:25:534]  OK
[06:00:25:535]  TX: STPX H:8CFEF0, R:0, D:3F
[06:00:25:548]  Empty response to STPX with data. OK.
[06:00:25:549]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:00:25:551]  TX: STPTO 250
[06:00:25:559]  OK
[06:00:25:560]  Reading from 223232 / 0x36800, length 1024 / 0x400
[06:00:25:562]  TX: STPX H:6D10F0, R:1, D:35010400036800
[06:00:26:618]  RX: 6D F0 10 36 01 04 00 03 68 00 05 00 60 04 36 3C 09 00 24 7C 00 01 1F 52 F8 12 39 40 32 03 70 76 4E B9 00 07 6D 88 4A 00 67 08 34 79 00 01 17 68 60 04 34 7C 00 00 D2 4A 31 C1 95 E8 60 04 42 78 95 E8 4C DF 00 07 4E 75 48 E7 E0 80 30 38 AE E4 42 43 0C 40 FF 00 6C 04 20 03 60 12 0C 40 09 00 6C 08 06 40 01 00 D0 40 60 04 30 3C 14 00 32 38 AB BE 74 15 20 7C 00 01 03 36 4E B9 00 02 64 AC 38 38 96 22 36 38 AB C8 24 7C 00 01 17 DC F8 12 31 40 C9 C0 6A 06 06 84 00 00 0F FF E0 84 E8 84 C9 C3 6A 06 06 84 00 00 0F FF E0 84 E8 84 31 C4 96 26 4C DF 01 07 4E 75 48 E7 E3 80 32 38 9C 7C E2 49 30 38 A0 C0 42 43 2C 3C 00 00 01 48 BC 41 63 04 22 03 60 26 0C 41 13 34 64 1C 02 81 00 00 FF FF 92 86 E1 81 E9 81 6B 0A 4C 7C 10 01 00 00 14 7B 60 08 42 81 60 04 32 3C 0E 00 2E 3C 00 00 08 00 BE 40 63 04 20 03 60 16 0C 40 A0 00 64 0C 02 80 00 00 FF FF 90 87 E6 48 60 04 30 3C 13 00 74 14 20 7C 00 00 EF 5E 4E B9 00 02 64 86 36 00 28 03 98 78 95 EA 68 0C 6A 06 38 3C 7F FF 60 04 38 3C 80 00 31 C4 95 D6 96 78 96 58 68 0C 6A 06 36 3C 7F FF 60 04 36 3C 80 00 31 C3 95 D8 36 38 95 D6 D6 78 96 1C 68 0C 6A 06 36 3C 7F FF 60 04 36 3C 80 00 31 C3 95 DA 4C DF 01 C7 4E 75 48 E7 E3 00 4A 38 AE 74 67 06 4A 38 B0 4F 66 12 4A 38 AE 74 66 00 05 38 0C 38 00 03 AD 13 66 00 05 2E 4A 38 A6 4F 66 32 4E B9 00 03 73 C6 4E B9 00 03 61 8C 4E B9 00 03 65 22 4E B9 00 03 65 9E 4E B9 00 03 66 A4 4E B9 00 03 67 3E 4E B9 00 03 68 3E 4E B9 00 03 6F 9E 60 54 42 43 16 38 A7 FD 0C 43 00 07 62 48 24 70 35 B0 00 07 EE 42 4E D2 4E B9 00 03 65 9E 60 36 4E B9 00 03 73 C6 4E B9 00 03 61 8C 60 28 4E B9 00 03 67 3E 60 20 4E B9 00 03 66 A4 60 18 60 BA 4E B9 00 03 78 5A 60 0E 4E B9 00 03 65 22 60 06 4E B9 00 03 68 3E 32 38 95 DC D2 78 95 E0 D2 78 95 E4 D2 78 96 26 92 78 95 DE 31 C1 96 58 34 78 9B 88 D2 78 96 20 D2 78 96 50 D2 78 95 E8 D2 78 91 AC 92 4A 92 78 9B 8A 31 C1 96 52 31 CA 95 EE 38 38 AB C8 30 04 24 7C 00 00 B4 76 F8 12 09 40 4A 38 A4 82 67 56 4A 38 95 F6 66 50 31 C1 96 18 7E 01 11 C7 95 F6 26 01 96 40 68 0C 6A 06 36 3C 7F FF 60 04 36 3C 80 00 31 C3 96 12 42 38 95 F3 42 38 96 65 42 38 96 16 42 38 96 63 42 38 96 62 42 38 96 64 4A 38 A4 80 67 00 02 0A 11 C7 95 F3 11 C7 96 65 11 C7 95 F1 60 00 01 FA 4A 38 A4 82 67 60 4A 38 95 F3 66 5A 4A 38 95 F6 67 54 24 7C 00 00 B4 A0 F8 12 41 40 C9 F8 96 12 6A 06 06 84 00 00 0F FF E0 84 E8 84 66 02 78 01 36 38 96 18 96 44 68 0C 6A 06 36 3C 7F FF 60 04 36 3C 80 00 B6 40 6E 0C 11 FC 00 01 95 F3 31 C0 96 18 60 08 42 38 95 F3 31 C3 96 18 31 F8 96 18 96 14 60 00 01 94 16 38 95 F6 67 32 4A 38 A4 82 66 2C 4A 38 A4 84 66 26 4A 38 95 F3 66 20 4A 38 96 64 66 1A 4A 39 00 00 B3 FF 67 08 7E 01 11 C7 96 64 60 C8 31 C1 96 18 42 38 95 F6 60 BE 4A 38 A4 82 67 3C 4A 38 95 F3 67 36 4A 38 96 65 66 30 31 C0 96 18 31 C0 96 14 16 38 96 16 B6 39 00 00 B3 FE 66 0E 11 FC 00 01 96 65 42 38 96 16 60 00 01 28 42 38 96 65 52 03 11 C3 96 16 60 00 01 1A 4A 38 A4 82 67 52 4A 38 96 65 67 4C 4A 38 96 64 66 46 30 38 A6 C6 B0 79 00 00 B3 FA 63 10 36 04 24 7C 00 00 B4 00 F8 12 39 40 31 C3 96 18 B0 79 00 00 B3 FC 64 10 42 03 24 7C 00 00 B4 2A F8 12 49 40 31 C4 96 18 4A 38 95 F1 66 00 FF 30 7E 01 11 C7 96 63 60 00 FF 26 6D DA
[06:00:26:619]  Processing message
[06:00:26:630]  Sending 'test device present' notification.
[06:00:26:630]  Setting timeout for Minimum, 0 ms.
[06:00:26:631]  TX: STPTO 0
[06:00:26:646]  OK
[06:00:26:662]  TX: STPX H:8CFEF0, R:0, D:3F
[06:00:26:675]  Empty response to STPX with data. OK.
[06:00:26:676]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:00:26:677]  TX: STPTO 250
[06:00:26:685]  OK
[06:00:26:686]  Reading from 224256 / 0x36C00, length 1024 / 0x400
[06:00:26:688]  TX: STPX H:6D10F0, R:1, D:35010400036C00
[06:00:27:804]  RX: 6D F0 10 36 01 04 00 03 6C 00 4A 38 A4 82 66 2C 4A 38 96 63 67 26 4A 38 96 64 66 20 16 38 96 62 B6 39 00 00 B3 F8 63 0A 11 FC 00 01 96 64 60 00 00 9A 52 03 11 C3 96 62 60 00 00 90 4A 38 A4 82 66 0C 4A 38 95 F3 67 06 4A 38 96 64 67 DA C6 38 96 64 67 66 4A 38 95 F1 67 08 36 39 00 00 B3 F6 60 1A 36 38 A6 C6 E5 43 02 83 00 00 FF FF 86 FC 00 05 24 7C 00 00 B4 54 F8 12 39 40 D6 78 96 18 68 0C 6A 06 36 3C 7F FF 60 04 36 3C 80 00 B6 41 6C 06 31 C3 96 18 60 04 31 C1 96 18 36 38 96 18 B6 41 6D 10 42 38 95 F6 42 38 95 F3 42 38 95 F1 42 38 A4 80 31 C3 96 14 60 10 31 C1 96 14 42 38 95 F6 42 38 95 F3 42 38 95 F1 4A 38 A4 83 67 14 31 C1 96 14 42 38 95 F6 42 38 95 F3 42 38 95 F1 42 38 A4 80 4A 38 A7 3A 67 22 36 38 AB C8 24 7C 00 01 17 90 F8 12 39 40 31 C3 96 14 42 38 95 F6 42 38 95 F3 42 38 95 F1 42 38 A4 80 4A 38 AE 74 67 00 00 D2 36 38 A0 C0 B6 79 00 01 1F B2 64 00 00 C4 B6 79 00 01 1F B4 63 00 00 BA 4A 38 A7 F9 67 00 00 A4 4A 38 A7 F8 67 00 00 9C 08 38 00 05 A6 4E 67 00 00 92 42 81 32 38 E1 E2 42 82 34 38 A7 E8 70 64 4E B9 00 07 77 24 26 00 0C 83 00 00 FF FF 63 04 36 3C FF FF 38 38 E1 CC 67 76 02 83 00 00 FF FF E1 83 E7 83 86 C4 69 06 0C 43 08 00 63 04 36 3C 08 00 74 06 B4 39 00 00 80 27 66 06 3A 3C 15 55 60 04 3A 3C 10 00 C7 C5 6A 06 06 83 00 00 07 FF E0 83 E6 83 B4 39 00 00 80 27 66 06 34 7C 0A AB 60 04 34 7C 08 00 96 4A 68 0C 6A 06 36 3C 7F FF 60 04 36 3C 80 00 31 C3 95 E6 11 FC 00 01 96 60 60 0E 4A 38 96 60 66 08 31 F9 00 01 1F B8 95 E6 30 38 96 14 4E B9 00 03 74 14 4A 38 95 F2 67 5E 4A 78 A2 7C 6D 06 11 FC 00 01 96 61 42 83 36 38 96 0A B6 B8 AD 0E 63 12 4A 38 96 61 67 06 4A 78 A2 7C 6D 1A 36 38 96 0C 60 1A 36 38 A6 C6 B6 79 00 01 1F BC 64 08 36 39 00 01 1F BE 60 06 36 39 00 01 1F BA D6 78 96 2C 68 0C 6A 06 36 3C 7F FF 60 04 36 3C 80 00 B6 40 6F 06 42 38 95 F2 36 00 20 03 4A 38 A1 62 66 08 08 38 00 05 A3 A2 67 5E 08 38 00 05 A3 A2 67 1C 08 38 00 05 A3 A6 67 06 3C 38 A3 B0 60 42 08 38 00 04 A3 A6 67 3A D0 78 A3 B0 60 32 16 38 A1 62 74 01 B4 03 66 12 36 38 A1 64 2C 03 B4 38 A1 63 66 1E 2C 03 44 46 60 18 0C 03 00 02 66 12 B4 38 A1 63 66 06 90 78 A1 64 60 04 D0 78 A1 64 3C 00 31 C6 96 2A 60 04 31 C0 96 2A 38 38 96 2A 60 72 4E B9 00 03 65 7A 4A 38 AE 74 67 0E 30 38 96 0E 42 38 95 F5 42 78 96 1C 60 0A 30 38 96 0E 4E B9 00 03 74 14 4A 38 AE 74 66 40 4A 38 A1 5E 67 3A 16 38 A1 5E 74 01 B4 03 66 12 36 38 A1 60 22 03 B4 38 A1 5F 66 1E 22 03 44 41 60 18 0C 03 00 02 66 12 B4 38 A1 5F 66 06 90 78 A1 60 60 04 D0 78 A1 60 32 00 31 C1 96 28 60 04 31 C0 96 28 38 38 96 28 32 38 96 2C 20 04 90 41 36 38 A0 C0 0C 43 00 80 64 04 42 43 60 1C 0C 43 01 CD 64 12 02 83 00 00 FF FF 04 83 00 00 00 80 C6 FC 00 0A 60 04 36 3C 0D 02 24 7C 00 01 18 64 F8 12 39 40 24 00 4A 42 6C 02 44 42 B4 43 6F 0E 4A 40 6F 06 28 01 D8 43 60 04 28 01 98 43 31 C4 95 EA 34 44 31 CA 96 2C 31 CA 95 E2 4C DF 00 C7 4E 75 4E 56 FF FC 48 E7 E2 80 20 38 AD 0E 42 83 36 38 96 02 B6 80 64 3E 4A 38 96 04 66 00 01 A2 3D 78 95 DE FF FC 42 6E FF FE 36 39 00 01 1F C0 F8 2E 39 40 FF FC 31 C3 95 DE 4A 43 6C 02 44 43 0C 43 00 17 62 00 01 7A 42 78 95 DE 11 FC 00 01 96 04 60 00 01 6C 1C 38 96 05 8C 38 96 06 67 30 3C 38 A0 C0 67 25
[06:00:27:805]  Processing message
[06:00:27:816]  Sending 'test device present' notification.
[06:00:27:817]  Setting timeout for Minimum, 0 ms.
[06:00:27:817]  TX: STPTO 0
[06:00:27:872]  OK
[06:00:27:873]  TX: STPX H:8CFEF0, R:0, D:3F
[06:00:27:908]  Empty response to STPX with data. OK.
[06:00:27:910]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:00:27:913]  TX: STPTO 250
[06:00:27:933]  OK
[06:00:27:935]  Reading from 225280 / 0x37000, length 1024 / 0x400
[06:00:27:939]  TX: STPX H:6D10F0, R:1, D:35010400037000
